subject,age,education,ethnicity,gender,gender_other,language,marital,origin,race,race_other,strat_categorize_aud,strat_categorize_vis,strat_image_aud,strat_image_vis,strat_rehearsal_aud,strat_rehearsal_vis,strat_spatial_aud,strat_spatial_vis,strat_story_aud,strat_story_vis,strat_other,wrote_notes,distracted
MTK0088,30,High school diploma,Not Hispanic,Male,,English,Single,United States,Black,,,,,,,,,,,,,,
MTK0089,44,Associate degree,Not Hispanic,Female,,english,Divorced,United States,White,,,,,,,,,,,,,,
MTK0090,59,Bachelor's degree,Not Hispanic,Female,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0091,46,Master's degree,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0092,25,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0093,,,,,,,,,,,,,,,,,,,,,,,
MTK0095,71,Master's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0096,,,,,,,,,,,,,,,,,,,,,,,
MTK0097,23,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0098,,,,,,,,,,,,,,,,,,,,,,,
MTK0099,47,High school diploma,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,American Indian/Alaskan Native,,,,,,,,,,,,,,
MTK0100,40,Master's degree,Not Hispanic,Female,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0101,,,,,,,,,,,,,,,,,,,,,,,
MTK0102,,,,,,,,,,,,,,,,,,,,,,,
MTK0103,25,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0104,33,Bachelor's degree,Not Hispanic,Female,,english,Single,United States,Asian,,,,,,,,,,,,,,
MTK0106,37,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0107,29,High school diploma,Hispanic,Female,,English,Not Reported,United States,Black,,,,,,,,,,,,,,
MTK0108,49,High school diploma,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0109,33,Bachelor's degree,Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0110,40,Some college,Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0111,48,Doctorate degree,Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0112,38,Some college,Not Hispanic,Male,,Italian,Single,Italy,White,,,,,,,,,,,,,,
MTK0113,36,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0114,25,Bachelor's degree,Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0115,,,,,,,,,,,,,,,,,,,,,,,
MTK0116,29,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0118,38,Bachelor's degree,Hispanic,Male,,english,Single,United States,American Indian/Alaskan Native|Black,,,,,,,,,,,,,,
MTK0119,31,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0120,33,Associate degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0121,23,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0122,27,High school diploma,Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0123,,,,,,,,,,,,,,,,,,,,,,,
MTK0124,58,Associate degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,American Indian/Alaskan Native|Asian|Black|White,,,,,,,,,,,,,,
MTK0125,29,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0126,50,Bachelor's degree,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0127,31,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,Asian,,,,,,,,,,,,,,
MTK0128,34,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0129,54,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0130,29,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0131,,,,,,,,,,,,,,,,,,,,,,,
MTK0132,,,,,,,,,,,,,,,,,,,,,,,
MTK0133,64,Doctorate degree,Not Hispanic,Female,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0134,32,Associate degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0136,27,Associate degree,Hispanic,Male,,English,Married/Domestic Partnership,United States,Other,Hispanic,,,,,,,,,,,,,
MTK0137,,,,,,,,,,,,,,,,,,,,,,,
MTK0138,45,Some college,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0140,29,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0141,33,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0142,,,,,,,,,,,,,,,,,,,,,,,
MTK0143,38,Some college,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0144,45,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0145,49,Bachelor's degree,Not Hispanic,Female,,ENGLISH,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0146,62,High school diploma,Not Hispanic,Female,,Yes,Divorced,United States,White,,,,,,,,,,,,,,
MTK0147,33,Master's degree,Not Hispanic,Female,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0148,34,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0149,,,,,,,,,,,,,,,,,,,,,,,
MTK0150,,,,,,,,,,,,,,,,,,,,,,,
MTK0151,37,High school diploma,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0152,31,Some college,Not Hispanic,Female,,English,Single,United States,Black,,,,,,,,,,,,,,
MTK0153,52,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0154,33,Bachelor's degree,Not Hispanic,Male,,englilsh,Single,United States,White,,,,,,,,,,,,,,
MTK0155,49,Some graduate education,Not Hispanic,Female,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0157,,,,,,,,,,,,,,,,,,,,,,,
MTK0158,38,Some college,Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0159,61,Doctorate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0160,31,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0161,64,Associate degree,Not Hispanic,Female,,English,Widowed,United States,White,,,,,,,,,,,,,,
MTK0163,29,Associate degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0164,53,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0165,41,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0166,,,,,,,,,,,,,,,,,,,,,,,
MTK0167,42,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0168,30,Associate degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0169,40,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0170,31,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0171,28,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0172,33,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0173,47,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0174,32,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0175,55,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0178,33,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0181,,Not Reported,Not Reported,Not Reported,,Not Reported,Not Reported,Not Reported,Not Reported,,,,,,,,,,,,,,
MTK0182,,,,,,,,,,,,,,,,,,,,,,,
MTK0183,,,,,,,,,,,,,,,,,,,,,,,
MTK0184,46,Some college,Not Hispanic,Female,,english,Divorced,United States,White,,,,,,,,,,,,,,
MTK0185,33,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,Asian|Black,,,,,,,,,,,,,,
MTK0186,,,,,,,,,,,,,,,,,,,,,,,
MTK0187,,,,,,,,,,,,,,,,,,,,,,,
MTK0188,44,High school diploma,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0189,28,Master's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0190,,,,,,,,,,,,,,,,,,,,,,,
MTK0191,41,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,Black,,,,,,,,,,,,,,
MTK0192,26,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,Asian,,,,,,,,,,,,,,
MTK0193,57,Associate degree,Not Hispanic,Female,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0194,,,,,,,,,,,,,,,,,,,,,,,
MTK0195,32,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0196,36,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0198,37,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0199,,,,,,,,,,,,,,,,,,,,,,,
MTK0200,33,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0201,,,,,,,,,,,,,,,,,,,,,,,
MTK0202,41,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0203,31,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0204,29,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0205,60,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0206,48,Some graduate education,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0207,53,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0208,,,,,,,,,,,,,,,,,,,,,,,
MTK0209,35,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0210,27,Associate degree,Not Hispanic,Female,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0212,37,Associate degree,Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0213,53,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0214,30,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0215,41,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0216,28,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0217,40,Bachelor's degree,Not Hispanic,Male,,Engkish,Single,United States,White,,,,,,,,,,,,,,
MTK0218,28,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0219,45,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0220,29,Some graduate education,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0221,66,Bachelor's degree,Not Hispanic,Female,,english,Divorced,United States,White,,,,,,,,,,,,,,
MTK0222,23,Bachelor's degree,Not Hispanic,Female,,english,Single,United States,White|Other,european american and east slavic,,,,,,,,,,,,,
MTK0223,44,Bachelor's degree,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0224,30,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0225,33,Some graduate education,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,Black,,,,,,,,,,,,,,
MTK0226,32,Some college,Not Hispanic,Female,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0227,34,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0228,53,Some college,Not Hispanic,Female,,english,Divorced,United States,White,,,,,,,,,,,,,,
MTK0230,45,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0231,29,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0232,25,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0233,27,Bachelor's degree,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,American Indian/Alaskan Native,,,,,,,,,,,,,,
MTK0234,34,Bachelor's degree,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0235,36,Master's degree,Hispanic,Female,,ENGLISH,Single,United States,Other,MIXED,,,,,,,,,,,,,
MTK0236,23,Some college,Not Hispanic,Female,,English,Single,United States,Black,,,,,,,,,,,,,,
MTK0237,39,Master's degree,Not Hispanic,Male,,ENGLISH,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0238,30,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0239,25,High school diploma,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0240,25,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0241,57,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0242,25,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0243,29,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0244,26,Some college,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0246,26,Associate degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0247,35,Some graduate education,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0248,30,Some college,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0249,30,Some college,Hispanic,Male,,english,Single,United States,American Indian/Alaskan Native|White,,,,,,,,,,,,,,
MTK0251,44,High school diploma,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0252,29,Some college,Not Hispanic,Female,,english,Single,United States,Asian,,,,,,,,,,,,,,
MTK0253,29,Some college,Not Hispanic,Male,,english,Single,United States,Black,,,,,,,,,,,,,,
MTK0254,25,High school diploma,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0256,35,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0257,36,High school diploma,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0258,34,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0260,22,Some college,Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0261,26,Some college,Not Hispanic,Female,,English,Single,United States,Black,,,,,,,,,,,,,,
MTK0262,60,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0263,33,Some graduate education,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0264,59,High school diploma,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0265,28,Bachelor's degree,Not Hispanic,Male,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0266,29,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0267,29,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0268,36,High school diploma,Not Hispanic,Male,,,Single,United States,White,,,,,,,,,,,,,,
MTK0269,69,Some college,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0270,34,Bachelor's degree,Not Hispanic,Male,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0271,51,High school diploma,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0273,29,Bachelor's degree,Not Hispanic,Male,,English,Single,United States,Asian,,,,,,,,,,,,,,
MTK0274,25,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0275,34,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0276,38,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0277,29,Some college,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0278,52,Some college,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0279,29,Some college,Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0280,29,Associate degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0281,51,Associate degree,Not Hispanic,Female,,english,Divorced,United States,White,,,,,,,,,,,,,,
MTK0282,44,Bachelor's degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0283,29,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0285,53,Bachelor's degree,Not Hispanic,Female,,English,Divorced,United States,White,,,,,,,,,,,,,,
MTK0286,30,Some college,Not Hispanic,Female,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0287,37,Bachelor's degree,Not Hispanic,Female,,english,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0288,23,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,Black,,,,,,,,,,,,,,
MTK0289,40,Bachelor's degree,Not Hispanic,Female,,English,Married/Domestic Partnership,United States,Asian,,,,,,,,,,,,,,
MTK0290,54,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0291,22,High school diploma,Not Hispanic,Female,,english,Single,United States,Black,,,,,,,,,,,,,,
MTK0292,31,Bachelor's degree,Not Hispanic,Male,,english,Single,United States,White,,,,,,,,,,,,,,
MTK0294,32,Some college,Not Hispanic,Male,,English,Single,United States,White,,,,,,,,,,,,,,
MTK0295,30,Associate degree,Not Hispanic,Male,,English,Married/Domestic Partnership,United States,White,,,,,,,,,,,,,,
MTK0296,39,High school diploma,Not Hispanic,Female,,English,Separated,United States,White,,,,,,,,,,,,,,
